FUNCTION                                                         CALLS        %      TIME  [uS / CALLS]
--------                                                         -----  -------      ----  [----------]
gen_server:cancel_timer/1                                       306218     0.09     35411  [      0.12]
erlang:system_time/1                                            153109     0.09     35823  [      0.23]
erts_dirty_process_signal_handler:handle_request/1              306542     0.09     36611  [      0.12]
vordb_registry:lookup/1                                         153109     0.10     37690  [      0.25]
vordb_ring_manager:key_nodes/1                                  153109     0.10     37824  [      0.25]
vordb_cache:cache_put/4                                         153109     0.10     38490  [      0.25]
vordb_pb:d_field_PutRequest_value/7                             153109     0.10     38623  [      0.25]
lists:duplicate/3                                               459327     0.10     40118  [      0.09]
gen_server:loop/4                                               306219     0.10     40392  [      0.13]
gen_server:decode_msg/4                                         306219     0.10     40488  [      0.13]
gleam_stdlib:map_get/2                                          153109     0.10     40555  [      0.26]
gen_server:call/3                                               153109     0.10     40938  [      0.27]
vordb_coordinator:extract_lww_value/1                           315621     0.11     41737  [      0.13]
vordb_coordinator:is_lww_tombstone/1                            315621     0.11     42031  [      0.13]
vordb@ring:preference_list/2                                    153109     0.11     42388  [      0.28]
erlang:whereis/1                                                153109     0.11     42455  [      0.28]
vordb_pb:d_field_Request_put/7                                  153109     0.11     43550  [      0.28]
vordb_metrics:emit_cache_miss/1                                 297331     0.11     44892  [      0.15]
erlang:'++'/2                                                   153190     0.11     44910  [      0.29]
string:pad/4                                                    153109     0.12     45464  [      0.30]
vordb_pb:d_field_PutRequest_key/7                               153109     0.12     46138  [      0.30]
vordb_metrics:emit_cache_hit/1                                  315621     0.12     47573  [      0.15]
gen:call/4                                                      306218     0.12     48105  [      0.16]
gen_server:reply/2                                              306218     0.12     48450  [      0.16]
vordb_coordinator:'-do_write/2-lc$^0/1-0-'/2                    306218     0.13     50534  [      0.17]
string:length_1/2                                               306218     0.14     54505  [      0.18]
erlang:iolist_size/1                                            315621     0.14     54874  [      0.17]
vordb_pb:dfp_read_field_def_PutRequest/7                        459327     0.15     58227  [      0.13]
vordb_ffi:system_time_ms/0                                      153109     0.15     58351  [      0.38]
vordb_ffi:cf_name/1                                             153109     0.15     60862  [      0.40]
vordb_pb:encode_msg_NotFoundResponse/3                          297331     0.16     63549  [      0.21]
vordb_coordinator:local_call/2                                  153109     0.17     66438  [      0.43]
gen_server:decode_msg/6                                         306219     0.17     67217  [      0.22]
vordb_dirty_tracker:mark_dirty/3                                153109     0.17     67757  [      0.44]
vordb_pb:e_mfield_Response_ok/3                                 153109     0.18     69629  [      0.45]
vordb@ring:collect_distinct_nodes/5                             306218     0.18     69897  [      0.23]
gen_server:try_handle_call/4                                    306218     0.18     69965  [      0.23]
maps:to_list_internal/1                                         612952     0.18     71912  [      0.12]
vordb_coordinator:classify_read/1                               612952     0.19     73780  [      0.12]
erts_dirty_process_signal_handler:handle_incoming_signals/2     454838     0.19     76672  [      0.17]
vordb_pb:is_empty_string/1                                      612952     0.20     77526  [      0.13]
vordb_pb:decode_msg_GetRequest/2                                612952     0.20     78769  [      0.13]
vordb_coordinator:write/2                                       153109     0.20     78963  [      0.52]
gen:do_for_proc/2                                               153109     0.20     80110  [      0.52]
vordb_pb:e_type_bytes/3                                         315621     0.20     80764  [      0.26]
erts_internal:map_next/3                                        612952     0.21     81065  [      0.13]
prim_inet:recv/3                                                766141     0.22     85328  [      0.11]
proplists:get_bool/2                                            766061     0.22     88056  [      0.11]
vordb_pb:d_field_Request_request_id/7                           766061     0.23     88792  [      0.12]
vordb_pb:e_varint/3                                             766061     0.23     89634  [      0.12]
inet_tcp:send/2                                                 766061     0.23     90123  [      0.12]
inet_tcp:recv/3                                                 766141     0.23     90371  [      0.12]
lists:flatten/1                                                 766062     0.23     91360  [      0.12]
vordb_pb:decode_msg_Request/2                                   766061     0.23     92367  [      0.12]
vordb_metrics:emit_request/4                                    766061     0.24     95919  [      0.13]
gen_server:handle_msg/3                                         306219     0.24     95942  [      0.31]
vordb_pb:decode_msg/2                                           766061     0.25     98687  [      0.13]
erlang:monitor/3                                                306218     0.25     98931  [      0.32]
vordb_pb:encode_msg/2                                           766061     0.25     99893  [      0.13]
unicode:characters_to_binary/2                                  612955     0.26    100838  [      0.16]
gen_server:loop/5                                               306219     0.27    105449  [      0.34]
lists:member/2                                                  766064     0.27    105587  [      0.14]
vordb_pb:decode_msg_2_doit/3                                    766061     0.27    106020  [      0.14]
lists:join/2                                                    612952     0.30    117124  [      0.19]
vordb_coordinator:do_write/2                                    153109     0.30    118287  [      0.77]
prim_inet:enc_time/1                                            766221     0.30    119823  [      0.16]
maps:to_list/1                                                  612952     0.31    122748  [      0.20]
unicode:characters_to_binary/1                                  612954     0.31    123962  [      0.20]
vordb_pb:e_mfield_Response_not_found/3                          297331     0.32    126141  [      0.42]
vordb_pb:encode_msg_ValueResponse/3                             315621     0.32    128033  [      0.41]
vordb_ffi:handle_call/3                                         153109     0.33    130328  [      0.85]
erts_internal:dirty_process_handle_signals/1                    428249     0.34    134950  [      0.32]
vordb_pb:e_mfield_Response_value/3                              315621     0.34    135115  [      0.43]
vordb_cache:cache_get/3                                         612952     0.35    137706  [      0.22]
vordb_pb:dfp_read_field_def_GetRequest/6                       1225904     0.36    141041  [      0.12]
vordb_metrics:find_bucket/2                                    1505833     0.37    144490  [      0.10]
vordb_pb:d_field_Request_get/7                                  612952     0.37    144897  [      0.24]
prim_inet:ctl_cmd/3                                             766381     0.37    147773  [      0.19]
vordb_pb:decode_msg_1_catch/3                                   766061     0.38    150316  [      0.20]
vordb@ring:key_to_partition/2                                   766061     0.38    150548  [      0.20]
erlang:phash2/2                                                 919170     0.39    152344  [      0.17]
